title,reviewid,creationdate,criticname,originalscore,reviewstate,reviewtext,embedding
Quantum Paradox,1849302,2022-04-03,Jordan Reese,NaN,fresh,"This is a generated review for Quantum Paradox, written by Jordan Reese.","[-0.0007839658059790762, -0.010813503721994775, -0.007035968965499229, -0.008446387163867653, 0.017796875328286926, 0.01964187479150817, 0.014626030260895127, -0.001772656431703372, 0.015581579944242866, -0.018169817571249386]"
Quantum Paradox,2144196,2021-06-06,Alex Harper,2.5/5,fresh,"This is a generated review for Quantum Paradox, written by Alex Harper.","[-0.015414062352109906, -0.00666491835711633, 0.01276395269212174, 0.011471675663269985, -0.014504079795449147, -0.019703474480562394, 0.005325005774898847, 0.012978504197673105, -0.00797836895239918, -0.013297594163305369]"
Shadow of Time,3524887,2015-10-07,Jamie Lowell,2/5,fresh,"This is a generated review for Shadow of Time, written by Jamie Lowell.","[0.011593065774906128, 0.017706587583496535, -0.01982046182698502, -0.017915422912119817, -0.0050530590216320715, -0.01059619685340556, 0.010475386836787566, 0.004880503678204629, 0.00819545307036847, 0.0029363477288722913]"
The Last Echo,2225995,2017-11-13,Jordan Reese,4/5,fresh,"This is a generated review for The Last Echo, written by Jordan Reese.","[0.016161892063655165, 0.014534366688268654, 0.009858146060802757, -0.0011878395071254072, -0.01769192811478472, -0.0004516606004030879, -0.012517780069064295, 0.009950347851413455, 0.008758247370284886, -0.003134178812438791]"
Neon Horizon,7543037,2023-04-24,Morgan Tate,2/5,fresh,"This is a generated review for Neon Horizon, written by Morgan Tate.","[-0.0026314708212139444, 0.010678328718340069, -0.0016069696307071252, 0.008513688038691174, -0.013831746110405944, -0.0153370966268989, 0.016523299652351085, 0.011931022312515246, 0.01363702340244793, -0.012821078349938536]"
Skyline Reborn,9597662,2024-12-16,Morgan Tate,4/5,rotten,"This is a generated review for Skyline Reborn, written by Morgan Tate.","[-0.002837252007019949, 0.004909073912048773, 0.014990077654561066, -0.0018206888958138302, -0.002793813901268302, 0.015812746758454257, -0.014563887607206172, 0.008705286254358534, -0.0010716344057600628, -0.003092700900142395]"
The Last Echo,7104190,2021-11-27,Taylor Brooks,2.5/5,fresh,"This is a generated review for The Last Echo, written by Taylor Brooks.","[-0.008981284278732585, 0.00042867439901111623, 0.015043619170705898, -0.005316171031810537, -0.01159177323275252, -0.008093890896702503, -0.0043548585014343034, -0.004921817427383552, 0.00030579160439778846, 0.012885276605437253]"
Shadow of Time,6360423,2020-05-31,Morgan Tate,4/5,fresh,"This is a generated review for Shadow of Time, written by Morgan Tate.","[-0.00592997455485254, -0.004932193429595775, 0.011542611718883173, -0.010295183654878866, 0.010408691108528729, 0.0025722300445447342, 0.006122152325820328, 0.007555428739009874, 0.0058015078980934685, 0.01130857943548232]"
Shadow of Time,3418942,2022-12-06,Alex Harper,2/5,rotten,"This is a generated review for Shadow of Time, written by Alex Harper.","[-0.01855090406357548, -0.017283260634920205, -0.0023834184241285396, 0.0029285492371492056, -0.014556166758724674, -0.009669571700746981, -0.01442730235741184, 0.0037514223241830527, 0.01463827257519745, -0.005263864508735909]"
Shadow of Time,2573753,2020-09-10,Taylor Brooks,1/5,rotten,"This is a generated review for Shadow of Time, written by Taylor Brooks.","[-0.01808652089840706, 0.004253552533953139, -0.01857325106001053, 0.017864775201984495, -0.01666930794268846, -0.014424179223861997, -0.015704489202862066, 0.01272323750709475, -0.006957195064573969, 0.005657338837885564]"
Neon Horizon,1604573,2021-03-30,Alex Harper,NaN,fresh,"This is a generated review for Neon Horizon, written by Alex Harper.","[0.0012945081244061137, 0.004520517806482317, 0.006730138357956633, 0.0023594821289105623, 0.006669747013188645, 0.01354032084309387, 0.005407572311398639, -0.0018419280799886022, 0.013418448568609177, 0.014322477372976147]"
Skyline Reborn,5823882,2015-07-27,Alex Harper,3/5,fresh,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.001417031249383225, 0.01903063680335305, -0.0061041854121513285, -6.0951900042679336e-05, 0.0021351499530272607, -0.016782937831905112, -0.006172374442795557, 0.01531013758512265, -0.011487007919800268, -0.01124814549875631]"
Skyline Reborn,3671578,2018-10-21,Jordan Reese,3.5/4,fresh,"This is a generated review for Skyline Reborn, written by Jordan Reese.","[-0.010256884134921375, -0.006936897872571466, 0.016045731709224926, -0.004445539472695961, -0.0009041888177523903, -0.009614489415965842, -0.013740774202183063, -0.0013589061438498418, -0.014544843386474784, -0.018320016427544532]"
The Last Echo,1888925,2018-10-27,Jamie Lowell,1/5,fresh,"This is a generated review for The Last Echo, written by Jamie Lowell.","[0.010804699331052766, 0.0006944694156862628, 0.006055460289298559, 0.0002710699224780788, -0.006493592373344317, 0.008512359138015048, -0.006826611843012595, 0.0016771981665018344, 0.014298236138484948, -0.0031772768318060786]"
Neon Horizon,1686800,2023-05-16,Morgan Tate,NaN,rotten,"This is a generated review for Neon Horizon, written by Morgan Tate.","[-0.004768428645704877, -0.014580094122439626, -0.013769892125279327, -0.007289384782493117, -0.0023987965362807645, 0.008958960766841006, 0.007598155630739744, 0.010117650597490577, 0.017040820584696383, 0.013973451621226509]"
Skyline Reborn,1130117,2017-01-19,Alex Harper,NaN,fresh,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.010407892977991558, -0.015186118479607762, 0.012015138811247012, -0.0149414775969474, 0.0008966684345333084, -0.007080131706133374, 0.002707433645834277, -0.010338161443932483, -0.004550291004559771, -0.014845689017952886]"
Shadow of Time,7238351,2019-02-27,Alex Harper,3.5/4,fresh,"This is a generated review for Shadow of Time, written by Alex Harper.","[-0.0024278241699472493, 0.006213923473020303, 0.012314099080004543, -0.010098202868568707, 0.01651908075001449, -0.005581500294861224, -0.006865898232630618, -0.00036345026032356606, 0.01531978548428702, -0.01331695804488597]"
